ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address,Latitude,Longtitude,Metro Proximity
5724049,https://bina.az/items/5724049,82.0,Yeni Yasamal q.,3.0,4.0,19.0,True,179000,AZN,Əsəd Əhmədov 18,40.3940961,49.797999,True
5953818,https://bina.az/items/5953818,95.0,Kürdəxanı q.,3.0,,,True,85000,AZN,Allahverdi Bağırov küçesi,40.5507963,49.9172226,False
5927573,https://bina.az/items/5927573,110.0,Qara Qarayev m.,3.0,13.0,18.0,True,311000,AZN,Əlif Hacıyev küçəsi,40.4200678,49.9342042,True
5953817,https://bina.az/items/5953817,185.0,Nizami m.,4.0,12.0,17.0,True,550000,AZN,Mərdanov Qardaşları küç.,40.3941868,49.8324979,True
5902433,https://bina.az/items/5902433,53.0,Masazır q.,2.0,3.0,6.0,True,80000,AZN,İstiqlaliyyət küçəsi,40.3684573,49.8328147,True
5953814,https://bina.az/items/5953814,137.0,İnşaatçılar m.,3.0,14.0,23.0,True,390000,AZN,Həsən Bəy Zərdabi prospekti,40.3802276,49.8087518,True
5920890,https://bina.az/items/5920890,75.0,Bakıxanov q.,3.0,3.0,5.0,True,165000,AZN,Bakıxanov qəsəbəsi,40.5025077,49.8786082,False
5824417,https://bina.az/items/5824417,107.0,Məmmədli q.,4.0,7.0,11.0,,128400,AZN,Məmmədli qəs,40.5125252,49.9405411,False
5710911,https://bina.az/items/5710911,62.0,Masazır q.,3.0,6.0,6.0,True,70000,AZN,Masazır qəsəbəsi,40.471873,49.7552234,False
5953810,https://bina.az/items/5953810,66.9,Şıxov q.,2.0,2.0,5.0,,195000,AZN,Şıxov qəs.,40.3116933,49.7935966,False
5750160,https://bina.az/items/5750160,141.0,Şah İsmayıl Xətai m.,3.0,7.0,18.0,,390000,AZN,Afiyəddin Cəlilov küç.,40.8466709,46.0374952,False
5906791,https://bina.az/items/5906791,106.0,Xalqlar Dostluğu m.,2.0,5.0,18.0,,155000,AZN,Elşən Süleymanov küçəsi,40.4103862,49.9546785,True
5934341,https://bina.az/items/5934341,40.0,Neftçilər m.,2.0,2.0,5.0,True,105000,AZN,Elşən Süleymanov küç,40.4781842,49.9404557,False
5923509,https://bina.az/items/5923509,12.0,,,,,,54000,AZN,Şamaxı şəhəri,,,"(None, None)"
5841216,https://bina.az/items/5841216,50.0,Nəriman Nərimanov m.,,,,True,350000,AZN,Mirzəbala Əhmədzadə küç.,40.3703052,49.8244627,True
5949117,https://bina.az/items/5949117,41.0,Masazır q.,2.0,2.0,8.0,True,65000,AZN,İstiqlaliyyət küçəsi,40.3684573,49.8328147,True
5943958,https://bina.az/items/5943958,117.7,Sahil m.,3.0,3.0,10.0,True,349000,AZN,Süleyman Rüstəm küç,40.3887084,49.8417803,True
5417574,https://bina.az/items/5417574,70.0,Azadlıq Prospekti m.,2.0,4.0,9.0,True,185000,AZN,8-ci mikrorayon.,40.5759821,49.6732817,False
5850025,https://bina.az/items/5850025,60.0,Memar Əcəmi m.,3.0,3.0,5.0,True,145500,AZN,Hüseyn Seyidzadə küçəsi,40.4086591,49.8236486,True
5933990,https://bina.az/items/5933990,70.0,Neftçilər m.,3.0,10.0,18.0,True,154000,AZN,8-ci kilometr qəsəbəsi,40.4781842,49.9404557,False
4036247,https://bina.az/items/4036247,100.0,Şah İsmayıl Xətai m.,3.0,8.0,18.0,True,350000,AZN,Afiyəddin Cəlilov küç. 27A,40.8466709,46.0374952,False
5953813,https://bina.az/items/5953813,371.0,Nizami m.,6.0,7.0,18.0,True,1270000,AZN,Sübhi Salayev küç.,40.3837151,49.8356735,True
5825423,https://bina.az/items/5825423,200.0,Mərdəkan q.,4.0,,,True,590000,AZN,Mərdəkan qəs.,40.4935881,50.1495477,False
5909387,https://bina.az/items/5909387,60.5,Masazır q.,2.0,9.0,13.0,True,75000,AZN,Istiqlaliyyət küç.,39.8274826,46.7909023,False
5952895,https://bina.az/items/5952895,65.0,İnşaatçılar m.,2.0,6.0,18.0,True,230000,AZN,Həsən Bəy Zərdabi pr.,40.4244523,49.9289353,True
5953003,https://bina.az/items/5953003,68.0,Qara Qarayev m.,2.0,12.0,14.0,,165000,AZN,Şirin Mirzəyev küç.,41.1586686,47.1769437,False
5852685,https://bina.az/items/5852685,55.0,Memar Əcəmi m.,2.0,2.0,5.0,True,145000,AZN,Hüseynbala Əliyev küçəsi,40.4113682,49.8191051,True
5939018,https://bina.az/items/5939018,80.0,Bayıl q.,3.0,5.0,6.0,True,160000,AZN,Əlibəyov qardaşları küç.,40.3483007,49.8341331,False
5784000,https://bina.az/items/5784000,70.0,28 May m.,3.0,9.0,12.0,True,255000,AZN,Şah İsmayıl Xətai prospekti,40.3832514,49.8721454,True
5953811,https://bina.az/items/5953811,67.0,,2.0,15.0,16.0,True,130000,AZN,Xırdalan şəhəri,,,"(None, None)"
5905454,https://bina.az/items/5905454,120.0,20 Yanvar m.,3.0,7.0,20.0,True,320000,AZN,Həsən Bəy Zərdabi pr.,40.4244523,49.9289353,True
5840978,https://bina.az/items/5840978,140.0,Memar Əcəmi m.,3.0,6.0,16.0,,250000,AZN,Mir Cəlal küç.,40.4165534,49.8082747,True
5627161,https://bina.az/items/5627161,6.0,Saray q.,,,,,44000,AZN,Lətif İmanov küçəsi,40.3762235,49.8146246,True
5881247,https://bina.az/items/5881247,65.0,Xalqlar Dostluğu m.,2.0,8.0,9.0,True,158000,AZN,"Babək pr., 45, ev 34.",40.3890058,49.8756543,True
5093345,https://bina.az/items/5093345,350.0,Buzovna q.,7.0,,,,725000,AZN,Buzovna qəs.,40.5222385,50.1029082,False
5735591,https://bina.az/items/5735591,6.0,Savalan q.,,,,,42000,AZN,Savalan qəs,40.7830786,47.612611,False
4768144,https://bina.az/items/4768144,197.0,Ağ şəhər q.,5.0,2.0,7.0,True,940000,AZN,Fəvvarələr küç.,40.3722521,49.8391024,True
4740645,https://bina.az/items/4740645,54.0,Masazır q.,1.0,6.0,6.0,,43000,AZN,Masazır istiqlaliyyet küçəsi,40.471873,49.7552234,False
5863652,https://bina.az/items/5863652,70.0,Nəsimi m.,2.0,9.0,16.0,True,187000,AZN,Məsud Davudoğlu küç.,40.620099,48.7027107,False
5787116,https://bina.az/items/5787116,70.0,28 May m.,2.0,2.0,5.0,True,195000,AZN,Azadlıq pr.,40.435379,49.8437175,True
5689851,https://bina.az/items/5689851,35.0,Masazır q.,2.0,2.0,2.0,True,47000,AZN,Şəmşir Abbasov küçəsi,40.471873,49.7552234,False
5755660,https://bina.az/items/5755660,100.0,Badamdar q.,4.0,3.0,5.0,True,235000,AZN,"Tofiq Məmmədov küçəsi, 18",40.334867,49.8046554,False
5899400,https://bina.az/items/5899400,100.0,28 May m.,3.0,11.0,18.0,True,370000,AZN,Kaveroçkin küç.,40.4730063,50.3387245,False
5911766,https://bina.az/items/5911766,155.0,Gənclik m.,4.0,10.0,14.0,True,420000,AZN,Köroğlu Rəhimov küç.,40.3965863,49.8598612,True
5906712,https://bina.az/items/5906712,60.0,Abşeron r.,3.0,3.0,4.0,True,112000,AZN,M.Ə.Rəsulzadə küçəsi,39.9674802,46.8195202,False
5876815,https://bina.az/items/5876815,65.0,Köhnə Günəşli q.,,,,True,100000,AZN,"Əliağa Şıxlinski küç., 49.",41.0935506,45.3497024,False
4962060,https://bina.az/items/4962060,120.0,Şah İsmayıl Xətai m.,2.0,18.0,18.0,,370000,AZN,"Afiyəddin Cəlilov küç., 27 a.",40.8466709,46.0374952,False
5859452,https://bina.az/items/5859452,147.0,Nəsimi m.,4.0,8.0,16.0,True,300000,AZN,Mir Cəlal küçəsi,40.4131444,49.8031769,True
5944540,https://bina.az/items/5944540,230.0,,6.0,,,True,55000,AZN,Zərdabi küçəsi,,,"(None, None)"
5815813,https://bina.az/items/5815813,124.0,Elmlər Akademiyası m.,3.0,14.0,17.0,True,330000,AZN,Mirəli Seyidov küçəsi,40.3770349,49.8070947,True
5953802,https://bina.az/items/5953802,55.0,Memar Əcəmi m.,2.0,5.0,5.0,True,148000,AZN,Seyidzadə küç.,40.4174351,49.8131983,True
5714602,https://bina.az/items/5714602,120.0,Şah İsmayıl Xətai m.,2.0,12.0,18.0,True,365000,AZN,Afiyəddin Cəlilov küç.,40.8466709,46.0374952,False
5946813,https://bina.az/items/5946813,55.0,Nərimanov r.,2.0,3.0,5.0,True,199000,AZN,Azadlıq pr.,40.435379,49.8437175,True
5948512,https://bina.az/items/5948512,140.0,,4.0,2.0,7.0,True,205000,AZN,Abşeron City Y\K,,,"(None, None)"
5621815,https://bina.az/items/5621815,121.0,İnşaatçılar m.,4.0,12.0,16.0,True,369000,AZN,İsmayıl Kərimli küç.,40.6791258,46.338346,False
5953805,https://bina.az/items/5953805,68.3,Şah İsmayıl Xətai m.,2.0,16.0,20.0,True,307000,AZN,Nəcəfqulu Rəfiyev küç.,40.6940299,46.3782768,False
5725602,https://bina.az/items/5725602,85.0,Əhmədli m.,3.0,8.0,9.0,True,230000,AZN,Məzahir Rüstəmov küçəsi,40.3907849,49.9617578,True
5953801,https://bina.az/items/5953801,45.0,İnşaatçılar m.,2.0,1.0,5.0,True,150000,AZN,Şərifzadə küçəsi,40.3763259,49.8048941,True
5949326,https://bina.az/items/5949326,61.0,,2.0,9.0,10.0,True,107000,AZN,Kristal Abşeron 1 yaşayış kompleksi.,,,"(None, None)"
5953799,https://bina.az/items/5953799,70.0,Həzi Aslanov m.,3.0,8.0,9.0,True,193000,AZN,Gəncə prospekti,40.3561069,49.9616205,False
4114426,https://bina.az/items/4114426,52.0,Azadlıq Prospekti m.,2.0,9.0,12.0,True,138000,AZN,S.S.Axundov küç.,41.2022423,47.1991449,False
5911864,https://bina.az/items/5911864,140.0,Binə q.,4.0,,,True,175000,AZN,Binə qəs.,39.5857179,46.8996647,False
5953798,https://bina.az/items/5953798,50.0,Həzi Aslanov m.,2.0,9.0,9.0,True,139000,AZN,Məhəmməd Hadi küç.,40.3806652,49.9539101,True
5953793,https://bina.az/items/5953793,52.3,Əhmədli m.,2.0,12.0,13.0,True,164000,AZN,Neapol dairəsi,40.3825049,49.9643495,True
5887928,https://bina.az/items/5887928,500.0,Pirəkəşkül q.,,,,True,500000,AZN,Pirəkəşkül qəs.,40.4814161,49.5996485,False
4622544,https://bina.az/items/4622544,94.0,Nəsimi m.,3.0,17.0,19.0,True,225000,AZN,Mir Cəlal küçəsi,40.4131444,49.8031769,True
5953796,https://bina.az/items/5953796,86.0,Nizami m.,2.0,10.0,15.0,,312700,AZN,Tağı Şahbazi küçəsi,39.9208289,48.7510156,False
5888033,https://bina.az/items/5888033,110.0,Nərimanov r.,3.0,9.0,16.0,True,280000,AZN,"Qarabağ küç., 45.",40.7669856,46.9840619,False
5053627,https://bina.az/items/5053627,56.0,Masazır q.,2.0,6.0,6.0,True,66000,AZN,Masazır qəsəbəsi,40.471873,49.7552234,False
5953792,https://bina.az/items/5953792,115.0,Nəriman Nərimanov m.,3.0,11.0,17.0,,355000,AZN,Ağa Nemətulla küç.,40.3944468,49.8809657,True
5888021,https://bina.az/items/5888021,1370.0,Ramana q.,,,,True,3200000,AZN,Ramana qəsəbəsi,40.4758521,50.0132954,False
5803283,https://bina.az/items/5803283,120.0,8 Noyabr m.,3.0,11.0,17.0,True,298000,AZN,Ceyhun Səlimov küçəsi,40.4036309,49.8179409,True
5840047,https://bina.az/items/5840047,40.0,Neftçilər m.,1.0,4.0,5.0,True,102000,AZN,Elşən Süleymanov küç.,40.4781842,49.9404557,False
5893700,https://bina.az/items/5893700,105.0,Neftçilər m.,3.0,15.0,17.0,True,227000,AZN,8-ci km,39.8322382,46.7611211,False
5953789,https://bina.az/items/5953789,180.0,Bakıxanov q.,5.0,,,True,278000,AZN,Bakıxanov qəs.,40.4215116,49.9614438,False
5889871,https://bina.az/items/5889871,130.0,Yasamal r.,3.0,18.0,20.0,True,239000,AZN,Moskva prospekti,40.4089379,49.804494,True
5953788,https://bina.az/items/5953788,5.5,Nərimanov r.,,,,,1925000,AZN,Ağasadiq Gəraybəyli k..,40.6411653,46.320954,False
5789442,https://bina.az/items/5789442,70.0,Həzi Aslanov m.,3.0,3.0,9.0,True,212000,AZN,M.Hadi küçəsi,40.374755,49.9537518,True
5859428,https://bina.az/items/5859428,110.0,Əhmədli m.,,,,,255000,AZN,Məhəmməd Hadi küçəsi,40.374755,49.9537518,True
5952133,https://bina.az/items/5952133,73.0,Nəriman Nərimanov m.,2.0,19.0,20.0,True,215000,AZN,Ağa Nemətulla küç.,40.3944468,49.8809657,True
5924292,https://bina.az/items/5924292,59.0,7-ci mikrorayon q.,2.0,8.0,14.0,True,230000,AZN,7-ci mikrorayon qəsəbəsi,40.4299271,49.8506971,True
5852231,https://bina.az/items/5852231,450.0,Şüvəlan q.,7.0,,,True,580000,AZN,Şüvəlan qəsəbəsi,40.4867414,50.1839699,False
5939638,https://bina.az/items/5939638,100.0,20 Yanvar m.,3.0,7.0,15.0,True,350000,AZN,Şərifzadə küç.,40.5629727,49.6670482,False
5716900,https://bina.az/items/5716900,46.0,Sahil m.,1.0,2.0,5.0,True,349000,AZN,Nizami küçəsi 58,40.3727937,49.8405849,True
5953786,https://bina.az/items/5953786,80.0,Nərimanov r.,3.0,7.0,9.0,True,243000,AZN,Atatürk pr .,40.4011673,49.8519791,True
5953784,https://bina.az/items/5953784,120.0,,4.0,,,True,115000,AZN,"Xırdalan şəhəri, H.Z.Tağıyev küçəsi",,,"(None, None)"
5857345,https://bina.az/items/5857345,109.0,Buzovna q.,3.0,,,,48900,AZN,Buzovna qəs.,40.5222385,50.1029082,False
5430095,https://bina.az/items/5430095,181.0,Elmlər Akademiyası m.,4.0,17.0,17.0,,377500,AZN,İsmayıl bəy Qutqaşınlı küçəsi,40.364903,49.8228307,True
5930908,https://bina.az/items/5930908,230.0,28 May m.,4.0,6.0,22.0,True,880000,AZN,Nizami küçəsi,40.3717421,49.835777,True
5888176,https://bina.az/items/5888176,109.0,8 Noyabr m.,3.0,9.0,16.0,True,305000,AZN,Əbdülvahab Salamzadə küç.,40.3531467,49.9582481,False
5953785,https://bina.az/items/5953785,65.0,Həzi Aslanov m.,2.0,9.0,9.0,True,139000,AZN,İlqar Zülfüqarov küçəsi,40.3759773,49.9294829,False
5583302,https://bina.az/items/5583302,8.0,Mərdəkan q.,,,,,205000,AZN,Mərdəkan qəsəbəsi,40.4935881,50.1495477,False
5866158,https://bina.az/items/5866158,65.0,Dərnəgül m.,2.0,8.0,14.0,True,209000,AZN,Süleyman Sani Axundov küç.,40.4265343,49.8411009,True
5665652,https://bina.az/items/5665652,100.0,Nəsimi m.,3.0,7.0,16.0,True,290000,AZN,6-cı mikrorayon q.,40.5787141,49.6899842,False
5682192,https://bina.az/items/5682192,270.0,Badamdar q.,4.0,,,True,465000,AZN,3-cü massiv,40.3280712,49.8048636,False
5953783,https://bina.az/items/5953783,40.0,,,,,,25000,AZN,Tərtər rayonu,,,"(None, None)"
5950526,https://bina.az/items/5950526,230.0,Binəqədi q.,5.0,,,True,115000,AZN,Mikayıl Ələkbərov küçəsi,40.4679226,49.828023,False
5671865,https://bina.az/items/5671865,84.0,İnşaatçılar m.,3.0,13.0,17.0,True,191000,AZN,Xarici dairəvi küçəsi,40.6791258,46.338346,False
5738374,https://bina.az/items/5738374,38.0,Elmlər Akademiyası m.,1.0,3.0,5.0,True,118000,AZN,Mirəli Seyidov küçəsi,40.3770349,49.8070947,True
5953781,https://bina.az/items/5953781,85.0,Nəriman Nərimanov m.,3.0,14.0,14.0,True,285000,AZN,Təbriz küç.,40.7899824,48.1464602,False
5927485,https://bina.az/items/5927485,62.0,İnşaatçılar m.,2.0,17.0,21.0,True,147000,AZN,Əsəd Əhmədov küç.,41.1525328,47.1787984,False
5952980,https://bina.az/items/5952980,60.0,İnşaatçılar m.,2.0,12.0,18.0,True,172000,AZN,Həsən bəy Zərdabi pr.,40.4244523,49.9289353,True
5606238,https://bina.az/items/5606238,105.0,Azadlıq Prospekti m.,3.0,11.0,18.0,True,220000,AZN,Süleyman Sani Axundov küç.,40.4265343,49.8411009,True
5895017,https://bina.az/items/5895017,65.0,Neftçilər m.,3.0,5.0,5.0,True,152000,AZN,Cəmşid Naxçıvanski küç.,41.4568976,48.8081301,False
5953780,https://bina.az/items/5953780,35.0,Qara Qarayev m.,2.0,4.0,5.0,True,132000,AZN,Qara Qarayev pr.,40.4068121,49.9414494,True
5887955,https://bina.az/items/5887955,117.0,İnşaatçılar m.,3.0,15.0,19.0,True,445000,AZN,Həsən bəy Zərdabi pr.,40.4244523,49.9289353,True
5819047,https://bina.az/items/5819047,120.0,Xalqlar Dostluğu m.,5.0,6.0,9.0,True,253000,AZN,Babək prospekti,40.3921172,49.915663,False
5838966,https://bina.az/items/5838966,182.0,Elmlər Akademiyası m.,4.0,7.0,16.0,True,485000,AZN,Mirəli Seyidov küç.,40.3770349,49.8070947,True
5929357,https://bina.az/items/5929357,45.0,Yeni Yasamal q.,1.0,7.0,9.0,True,127000,AZN,Məhəmməd Xiyabani küçəsi,40.396926,49.7931394,True
5923561,https://bina.az/items/5923561,126.0,Nəsimi r.,3.0,5.0,13.0,True,360000,AZN,Tbilisi pr.,40.3940234,49.82016,True
4872782,https://bina.az/items/4872782,6.0,Saray q.,,,,,90000,AZN,Saray qəs.,40.5347917,49.7140443,False
5953776,https://bina.az/items/5953776,55.0,Həzi Aslanov q.,2.0,18.0,20.0,True,172000,AZN,Gəncə prospekti,40.3561069,49.9616205,False
5847780,https://bina.az/items/5847780,86.0,Nəsimi r.,2.0,7.0,16.0,True,290000,AZN,Səməd Vurğun küçəsi,40.3727572,49.842347,True
5953779,https://bina.az/items/5953779,100.0,Nizami m.,3.0,6.0,6.0,True,300000,AZN,Abdulla Şaiq küçəsi,40.3820023,49.823989,True
5920760,https://bina.az/items/5920760,10.0,Görədil q.,,,,,120000,AZN,Görədil qəsəbəsi,,,"(None, None)"
5905889,https://bina.az/items/5905889,145.0,Elmlər Akademiyası m.,3.0,8.0,16.0,True,450000,AZN,İsmayıl bəy Qutqaşınlı küçəsi.,40.364903,49.8228307,True
5928852,https://bina.az/items/5928852,125.0,Memar Əcəmi m.,3.0,6.0,16.0,True,283500,AZN,Mirmahmud Kazımovski küç.,39.9202595,48.5191466,False
5953777,https://bina.az/items/5953777,70.0,Nizami m.,2.0,2.0,5.0,True,215000,AZN,Səməd Vurğun küç.,40.609219,49.6277394,False
5939156,https://bina.az/items/5939156,55.0,Sahil m.,2.0,4.0,4.0,True,250000,AZN,Səməd Vurğun küç,40.609219,49.6277394,False
5892982,https://bina.az/items/5892982,90.0,Yasamal r.,2.0,19.0,20.0,True,164000,AZN,Moskva prospekti 3168,40.4145455,49.801536,True
5953772,https://bina.az/items/5953772,103.0,İnşaatçılar m.,3.0,12.0,19.0,True,320000,AZN,Həsən bəy Zərdabi prospekti,40.3802276,49.8087518,True
5904963,https://bina.az/items/5904963,52.0,,2.0,4.0,14.0,True,137000,AZN,Sumqayıt şəhəri,,,"(None, None)"
5869732,https://bina.az/items/5869732,122.0,Xalqlar Dostluğu m.,3.0,9.0,18.0,True,268000,AZN,Bəhruz Nuriyev küç.,40.5466131,49.7160772,False
5942585,https://bina.az/items/5942585,55.0,7-ci mikrorayon q.,3.0,3.0,5.0,True,155000,AZN,Süleyman Sani Axundov küçəsi,39.7953251,47.1040316,False
5953774,https://bina.az/items/5953774,66.0,Xətai r.,3.0,19.0,19.0,True,177000,AZN,Gəncə prospekti,40.3561069,49.9616205,False
5953771,https://bina.az/items/5953771,92.0,Həzi Aslanov m.,3.0,4.0,18.0,True,205000,AZN,Məhəmməd Hadı küç.,40.3806652,49.9539101,True
5849330,https://bina.az/items/5849330,112.0,Badamdar q.,3.0,15.0,18.0,True,300000,AZN,Abbasqulu Abbaszadə küç.,40.3342078,49.8054328,False
5437745,https://bina.az/items/5437745,75.0,Həzi Aslanov m.,3.0,2.0,9.0,True,176000,AZN,Qədir Məmmədov küçəsi 9,40.3759773,49.9294829,False
5793181,https://bina.az/items/5793181,186.0,Yasamal r.,4.0,18.0,20.0,,249000,AZN,Moskva prospekti 3168,40.4145455,49.801536,True
5702538,https://bina.az/items/5702538,112.0,Gənclik m.,3.0,16.0,18.0,,323000,AZN,Təbriz küçəsi,40.4009916,49.8680718,True
5790817,https://bina.az/items/5790817,110.0,Şüvəlan q.,4.0,,,True,185000,AZN,Şüvəlan qəs.,40.4867414,50.1839699,False
5787196,https://bina.az/items/5787196,182.0,Nəsimi r.,4.0,4.0,18.0,,490000,AZN,Mirsadulla Mirqasımov küçəsi,40.620099,48.7027107,False
5648826,https://bina.az/items/5648826,31.0,20 Yanvar m.,1.0,3.0,20.0,True,114000,AZN,Melissa park yaşayış kompleksi,40.4139014,49.8094141,True
5931271,https://bina.az/items/5931271,140.0,Nəsimi m.,,,,True,150000,AZN,Həmzə Babaşov küçəsi,40.4286787,49.8233924,True
